id
16S_1:1b2c41577c16f4c672a2a861e6b89b14
16S_1:1ead98754d34073a4606f7ff1e94126e
16S_1:40b37890b1b1fcdf0ece91f1da34c1ca
16S_1:43e088977eba5732bfa45e20b1d8cdd2
16S_1:887bc7033b46d960e893caceb711700b
16S_1:88b5b5240649749ca876d10823045b01
16S_1:919a2aa9d306e4cf3fa9ca02a2aa5730
16S_1:95efad17b5fb6b91274a6ef3c47a098a
16S_1:ae71bf7c99d3583a2d8841e5911c5716
16S_1:c366064866eaed18a54d15640272ab34
16S_2:1b2c41577c16f4c672a2a861e6b89b14
16S_2:1ead98754d34073a4606f7ff1e94126e
16S_2:40b37890b1b1fcdf0ece91f1da34c1ca
16S_2:43e088977eba5732bfa45e20b1d8cdd2
16S_2:887bc7033b46d960e893caceb711700b
16S_2:88b5b5240649749ca876d10823045b01
16S_2:919a2aa9d306e4cf3fa9ca02a2aa5730
16S_2:95efad17b5fb6b91274a6ef3c47a098a
16S_2:ae71bf7c99d3583a2d8841e5911c5716
16S_2:c366064866eaed18a54d15640272ab34
16S_3:1b2c41577c16f4c672a2a861e6b89b14
16S_3:1ead98754d34073a4606f7ff1e94126e
16S_3:40b37890b1b1fcdf0ece91f1da34c1ca
16S_3:43e088977eba5732bfa45e20b1d8cdd2
16S_3:887bc7033b46d960e893caceb711700b
16S_3:88b5b5240649749ca876d10823045b01
16S_3:919a2aa9d306e4cf3fa9ca02a2aa5730
16S_3:95efad17b5fb6b91274a6ef3c47a098a
16S_3:ae71bf7c99d3583a2d8841e5911c5716
16S_3:c366064866eaed18a54d15640272ab34
